Waldort,WE-Typ,ST,BE,MA
05942,NG,,,
060A0,WO,"ST sanfter Rücken - in O-Hälfte felsig, Expos S/N, Felsformation am Rücken im O, kl Wieserl im W bei Stein 114","BE einz. TA/UL; -5/+10 J, Jüngeres eher im W/SW, Älteres im O, BU grtls am Rücken, LÄ-Partie nahe Stein 116, durch Schadereignisse teils blößig, FI teils instabil","MA DE 1992, DF 2012/13, laufend Schadholzanfall 2015-2020; ZV, EG mit DG möglich"
060B1,WO,"ST N-Hälfte flacher, felsig am N-Rand, S-Hälfte steiler","BE ein FI, NH grtls in N-Hälfte - dort dichter mit weniger Jgw, S-Hälfte grtls BU sowie lichter bis räumdig - dort mehr Jgw sowie Holler, ungleichalter BU-Jgw, Spechtbäume, Totholz","MA UE/JF, auch außer Nutzung stellen denkbar (Biotopfläche)"
060B2,WO,,"BE ein LÄ KI sowie eiz EI im S, zlr SL, BU/TA-Zwibestreste v a im NW, im N örtl reine FI","MA gut bekront mit stabilem Eindruck, DF günstig jedoch Käfergefahr, Schäden Käfer 2016; ZV"
060B3,WO,ST felsig im N - dort schöne Aussicht,"BE +/- 5 J, Jüngeres mittig - dort weitständig-lückig mit vl Brombeere Holler, Älteres im W mit mehr LH sowie im O, zlr SL = KB/Aspe, KI auf Zugweg-Trasse, mehr LÄ im SO, wesentlich inhomogener als C2",MA DE: LÄ erhalten! QP Astung vetpasst
060C1,WO,ST flacher im W - dort auch sanfter jedoch felsiger Rücken,"BE etw jünger im W, etw älter im O, FI in W-Hälfte sowie an Grenze im SO, gute Qualität, teils lückig, ein SL KB, BU NVJ aufkommend, im W älterer AH VJ-Kegel mit, 4 alten AH","MA gute DF 2014, einzeln Schäden Käfer; weitere DF erforderlich (Dimensionieren)"
060C2,WO,ST STOE 72/71,"BE +/- 10 J, LÄ-Partie im W unter Zugweg, oft bedrängt, s inhomogen","MA Schneeschäden 2015, Schäden Käfer 2017; DF LA freistellen"
060C3,WO,"ST unten steiler, kaum Bodenvegetation","BE ein BU/AH = SL, FI oft mit Wipfelbrüchen und labil, Zwischenbestand großteils abgestorben","MA labil, keinesfalls DF"
060C4,WO,"ST steiler sowie örtl felsig im O, STOE 71/72","BE oben jüngere Partien mit ein FI, ein ES, eiz KI im SW, ein BU-UE zw Str und Graben, eher mindere BU-Qualität dafür gute AH Qualität im NO weiter fördern","MA DF 2011 an Str, weitere DF 2017; DF mitte Dezennium um AH zu fördern"
060D1,WO,,,
060D2,WO,,"BE etw älter am O-Rand, zwiständige BU - eher im N, in Mitte Lücke durch Schneebruch, stabiler Eindruck","MA DE 2015, Schneeschäden 2015; DF"
060D3,WO,"ST ehrm. viel Brombeere, gezäunt",BE ehem Schadensfläche,"MA Auff 2007, JP 2012/13; DP 2015; Zaun abbauen; ende Dez. Kontrolle ob DE"
060E1,WO,,,MA Schäden Käfer 2016; ZV
060E2,WO,,,"MA JF 2016, Schäden Käfer 2016; belassen"
06031,NG,,,
06081,NG,,,
061A1,WO,"ST sanfter Rücken, Expos SW bis NO, im W steiler - sonst flacher, örtl STOE 72 im NO, s karg im NW, Umt 120/140","BE mehr BU im NO, mehr KI im W/SW, mehr FI im O - und bes in Mitte, nahezu flächige BU NVJ","MA laufend Schäden Käfer / Wind 2014-2020; DF der dichten BU-KI-reichen Partien (Dimensionieren) im SW, keinerlei DF od dgl in FI reichen Partien dort ZV"
061A2,WO,"ST 2 Teile; steiler im W und S, flacher im O","BE unhleichalt, RE nur in N Teil und etwa in Mitte, BU teils noch jünger, einuge LH/KI UE",MA AG bei RE verpasst! DP/DE ! UE möglich
061A3,WO,,,
061S0,WO,"ST STOE 71/72, geplante Abbaugrenzen skizzenhaft übernommen vom Vermessungs-/Abbauplan(16. Feb. 2004, DI Mahowsky)","BE mehr KI im W, BU-reichere Partien etwa in Mitte, FI-reicher im O zu (4) hin","MA geplante Erweiterungsfläche des Steinbruchs, ZV"
062A1,WO,,,
062A2,WO,,,
062A3,WO,"ST 2 Teile, eben, vergraste Blößen im S","BE im N gezäunt und zu 70% AH, im S AH älter und nur in geringem Anteil, ungleichalt",MA AG! mitte Dez. DP!
062B1,WO,"ST STOE 72, sanfter Rücken, örtl Bergschwingel","BE LÄ-Reihe im NW an ehem Schneise 5, im S lichter mit flächiger Vjg, ein FI/TA-Vjg, BU Standortverbessernd! muss beibehalten werden",MA Schäden Käfer 2014-16/20; LI: für flächige NVJ
062B2,WO,"ST STOE 71/72, Straßenrand","BE -5/+10 J, SL v a BI, inhomogen, durch Schadholz erweitert und teils noch blößig","MA DE ende Dez. an Straßenrand, Rest belassen"
062C0,WO,,,"MA Schäden Käfer/Wind 2015/17/19/20; PL/JF auf ganzer Fläche, TR: Feinerschließung anlegen"
062D0,WO,"ST STOE 72/81, örtl Bergschwingel","BE im W mehr KI, im O etw älter - dort mehr BU sowie flächiger TA-Jgw, lückig mit flächiger NVJ, FI kaum noch Zuwachs, jedoch stabil","MA laufend Schadholz Käfer/Wind 2014-2018/20; RM im O, LI im W; ZV"
062E1,WO,"ST STOE 72/81, wechselfeucht, verkrautet, örtl Bergschwingel","BE durch Schadholznutzungen Altschicht entnommen, ungleichalte NVJ und DG Kunstverjüngung",MA 2021 mit DG EG + Gedüngt!
062E2,WO,,,"MA DP 2015, AG 2020, DE"
062S0,WO,,,
06231,NG,,,
063A0,WO,,,"MA Schäden Wind/Schnee 2015/17/20; DF: KI/Fi fällt aus, freistellen"
063B0,WO,,"BE bis 20 J älter im SW, mittig örtl bis 5 J jünger, wechselnde Mischungsverhältnisse - siehe Karte, ein Jgw-Horst an Gastrasse, FI-Partien eher labil; viel aufkommende TA/BU VJ","MA laufend Schadholz Käfer 2015-2017, 2019-2020; DF im Zuge von Schadholz 2019/20; weitere DF! Stabilitätsträger fördern"
063C0,WO,,"BE bis 20 J ältere Partie im SW und an E-Trasse, mittig örtl bis 5 J jünger, wechselnde Mischung und sehr differierende BHD, schlechte BU-Qualität sowie ein TA nahe Stein 20, eiz EI/KI","MA laufend DF 2003/08/09, 2015/16/17/19/20; weiter in dem Stil DF"
063D1,WO,,,MA laufend Schadholz Käfer Schnee 2015-2020; DF an Forstweg (dort dicht) labile FI entnehmen
063D2,WO,,,
063E1,WO,,,MA 2012/13/15/16/20 Schäden Käfer; DF in dichten Teilen
063E2,WO,ST Mulde neben Forstweg,"BE +/- 5 J, ein ES, BU-SAH-UE lgs Grenze, etwas BU NVJ und Sträucher; beschaulicher Waldort, alle AH/RE nicht geastet und dementsprechend protzig",
063F1,WO,,,"MA laufend Schadholz Käfer 2012, 2015-2020; FI teils labil, teils gute Kronen ZV, maximal SB/ND möglich"
063F2,WO,,,
063G1,WO,,"BE mehr BU-KI im O, etwa 30% BU im Teil zw Str und Stein 28, sonst mehr FI; an G4 6 Schöne AH",MA Schäden Käfer 2015/16/17/19/20; DF in LH reichem SO
063G2,WO,,,
063G3,WO,"ST 3 Teile, STOE 72/81","BE NH in reinen Gruppen, FI teils labil, DG nur in Mittelteil, LH meist protzig",MA DE in einem Teil 2018 etfolgt DE/DF mit geringem Massenanfall
063G4,WO,,,"MA DE, AG AH, Monosäulen aus Plastik entfernen!"
063T0,WO,,,
06331,NG,,,
06332,NG,,,
06341,NG,,,
06351,NG,,,
064A1,WO,"ST schmale E-Trasse etwa in Mitte, Dauerwald möglich","BE TA südl E-Leitung, zlr LÄ im NW an Grenze, Jgw +/- 10 J, flächig verjüngt im NW und an E-Trasse, im W 40j Streifen mit TA/KI/BU","MA Feinerschließung ausbauen (LI), dann PL"
064A2,WO,,,
064A3,WO,,,"MA DP 2013, DE/DF"
064A4,WO,"ST trockener Südhang, Rückeweg","BE ein TA, KI-LÄ-UE, Altschicht sehr ungleichalt, mittleres Alter geschätzt, sehr variabel",MA Schäden Käfer/Wind 2020; DE HB Brennholz
064B1,WO,"ST seichtgründiger, trockener Südhang","BE etw lichter im S, LÄ grtls im N, mehr sowie älterer Jgw im S nahe Zugweg, einzeln BU beigemischt; flächig verjüngt, TA/BU verbissen, Mistelbefall an KI, vl Totholz",MA Schadholz Käfer 2018/20; JF Vitale KI/LA als Beschattung unbedingt belassen
064B2,WO,"ST flacher im W, steiler im O","BE einz TA, mehr LH im S und O, DG eher weitständig mit LH-Zwibest, DG oft s grobastig, örtl auf 2m geastet - SL= QP/KB/AS/BI/WD/AH","MA DE 2012, DF"
064B3,WO,"ST steiler sowie felsig im N, flacher im SO, markanter Felsen im NW - von dort schöne Aussicht","BE ein EI SL, LÄ-UE in Mitte, KI-UE-Horst im NW in den Felsen, eiz BU-UE im NO, oben kl Blößen, vl KI/LA am S-Rand","MA AF 2006, JP 2012, Schutz gegen Wild 2012/13, Düngung 2012/13 , AG 2016/20, DP 2017; DE mitte Dezennium"
064C1,WO,ST Objekt-SW wg B37,"BE etw älter mit nahezu reiner BU im W, etw jünger mit mehr FI im O, starke BHD Schwankung, inhomogen",MA belassen
064C2,WO,"ST markanter Felsen im W an B37 - schon auf Fremdgrund, Objekt-SW wg B37","BE bis 5 J jünger, ein FI, inhomogen, LH dicht",MA belassen Objektschutz
064C3,WO,ST Objekt-SW wg B37,"BE Älteres im S, inhomogen, Artenreich, dicht bestockt","MA DG aus Erg 2005, DP 2013, AG 2016/17/20; DE DG/TA freistellen, LH dicht lassen"
064D1,WO,ST etw flacher im O - dort örtl recht steinig,"BE lichter im O mit zlr QP, mehr BU BI im W, BI teils absterbend, DG eher feinastig da eng begründet","MA DE 2012, AG 2013, Schneebruch 2015; DF erforderlich"
064D2,WO,ST im O karger Rücken,"BE + / - 10J., ein BU, im O karger und geringwüchsig, reine KI/LA an Traktorweg",MA besserwüchsigen W 2012 DE; im O unbedingt DE: LA/KI freistellen
064D3,WO,,,
064D4,WO,,,
064D5,WO,,,
064E1,WO,,,MA DE 2012-2015; Schäden Käfer 2018/19; DF
064E2,WO,"ST STOE 81/72, im O steiler EInhang, im W flacher, Fremd-Wegparzelle nicht wahrnehmbar","BE lichtere/jüngere Horste mit zlr LH im NW an Str, ein BI KI in W-Hälfte","MA DE durch Hr Anderl im Gange - Jänner 2011, weitere DF erforderlich, LH fördern"
064E3,WO,"ST felsig im S, nahezu eben im N","BE im S am Rücken kl Blößen, SL= EE/BI/BU, einz LA","MA AF 2006; AG 2016/20, DP 2017, DE ende Dez."
064F1,WO,ST örtl felsig,"BE örtl mehr FI, zlr TA im NO, an Grenze und im W ein LH sowie lichter mit mehr Jgw, FI/TA-Zwibest; im NW KI Starkholzrest (Biotopbäume)","MA 2013-2020 laufend Schadholz; ZV, Feinerschließung anlegen"
064F2,WO,,"BE real bis 5 J älter, ein HB; LH verdrängt DG! einige KB, jedoch sehr protzig",MA DE notwendig: DG freistellen und PA bei LH
064G1,WO,"ST sanfter Rücken von W nach O ziehend, stark verkrautet, viel Brennessel und Brombeere","BE im S voll bestockt, im N blößig durch Schadereignisse","MA 2015 - 2018/20 Schäden Käfer und Wind; ZV, alternativ Lücken mit DG EG"
064G2,WO,"ST etw steiler im S, nahezu eben im N","BE ein FI-Stangenhölzer im S, ein vorwüchsige TA im N, SL= ER/AH/QP/BU; SW - etw blößig","MA TR 2018, DP 2014, AG 2020, DE mitte Dezennium"
06431,NG,,,
065A1,WO,"ST steiler im S, flachere Partien im N, Wollsäcke im N ""Reich der Zwerge"", ""Bucklige Wand""","BE etw jünger im W - dort mehr FI, s lichte Partien im NO zu F3 hin, Jgw +/- 5 J, örtl bereits angehendes BUStangenholz",MA Schäden Käfer/Wind/Schnee 2015/16/17/20; im O RM
065A2,WO,ST etw steiler im O,"BE jüngere und ältere Partien wechselnd, eher bescheidene BU-Qualität, bedrängte LÄ zw. A4, BU-UE an A1","MA DG und LA freistellen, BU PA, ende Dez. kontrolle ob DE"
065A3,WO,,,
065A4,WO,ST 2 Teile,"BE im N mehr BU, im S einz. KI; bis 5 J älter, LÄ grtls in N-Hälfte, dank guter Pflege noch erfreulicher LÄ-Anteil",MA LÄ pflegen! DE90
065A5,WO,,,
065B1,WO,"ST Expos S bis O, etw tiefgründiger im O","BE etw dichter und homogener im N, nach S hin s lichtes Altholz mit bereits BU-Stangenholz darunter, zlr KB im W, schlechte BU-Qualität, SW Charakter","MA RM, Lücken mit DG EG"
065B2,WO,"ST N-Tl Expos O sowie etw tiefgründiger, S-Tl Expos S","BE bis 5 J älter, BU-UE im N des S-Tls, im N Teil überwiegend AH","MA DE 2014/16 im S Teil, N Teil ungepflegt DE!"
065B3,WO,,,"MA DE 2017, Schäden Käfer 2019; DF erforderlich LH fördern"
065B4,WO,,,"MA DP 2015, AG 2016/20, DE"
065C1,WO,,,
065C2,WO,,,
065D1,WO,"ST STOE 72, 15-20°, örtl Waldmeister","BE ein KI, im N lückig, mittig geschlossen mit weniger Vjg, mehr FI im W, mehr LÄ im O, viele ungleichalte VJ Kegel","MA Schäden Käfer 2016-2020; JF: Kegel freistellen, FI vorwiegend entnehmen"
065D2,WO,,"BE ein LÄ, stammzahlreduziert, dennoch verpasste DE und dadurch labil",MA belassen!
065E0,WO,ST karger Rücken SW Charakter (Standortschutz?),"BE Alter geschätzt, BU grtls randlich, minderer BU-Jgw KI absterbend",MA belassen
065F1,WO,,,MA Schäden Käfer 2015; LI BU im S Dimensionieren! flächige VJ erzielen
065F2,WO,,"BE angeblich ein DG, im SW LH Einwüchse, teils abgestorbener Zwischenbestand, viel Totholz, überraschend stabil",MA DF noch möglich
065F3,WO,,,"MA DE BU Brennholz, leider nur mindere Qualität"
065S1,WO,,,"MA laufend Schäden Käfer / Wind (rein NH) 2014-2016/19/20; ZV, KH?"
065S2,WO,"ST Rücken, im N stark vergraste Blöße","BE bis 5 J älter, LÄ vorwüchsig, ein BU-LÄ-UE, bereits kleine Kronen, dringende DE notwendig - schade drum",MA geplante Erweiterungsfläche des Steinbruchs? DE
06531,NG,,,
066A0,WO,"ST kl Lagerplatz od dgl im NO an Str, s laut wg Steinbruch","BE älteres NH im W, ältere BU im O, Jüngeres -5/+10 J, FI-Stangenholzhorst im N - im Anschluß AH-Horst, sehr inhomogen",MA UE
06631,NG,,,
06691,NG,,,
067A1,WO,ST 71/72 flacher Hang,"BE ein TA LÄ, LÄ-Reihe lgs (C), unter Str mehr BU, recht dicht erwachsen, BU teils gute Qualität, starke ES entlang Bach im W, dort tiefgründiger und BU NVJ",MA laufend Schäden Wind/Käfer (rein NH) 2017-2020; DF BU Dimensionieren! Instabile FI/KI entnehmen
067A2,WO,ST Grabeneinhang,"BE FI tls bedrängt, etwas ungleichalte FI/BU NVJ",MA DE dichte FI Partien durchschneiden
067B0,WO,ST Objekt-SW wg B37,"BE älterer KI-Jgw-Streifen an B37 - vmtl schon auf Fremdgrund, im W älter mit einigen BU, im O jünger, inhomogen mit viel NVJ",MA ZV
067C0,WO,"ST trockener Südhang, teils STOE 72","BE BU eher im O, FI zwiständig - stadiales Alter - oben mehr, LH in NVJ gut aufkommend, viel Totholz, KI teils absterbend",MA DF/ND zu Kronenpflege und VJ Förderung notwendig
067S0,WO,"ST geplante Abbaugrenzen skizzenhaft übernommen vom Vermessungs-/Abbauplan (16. Feb. 2004, DI Mahowsky)","BE mehr KI im W, BU meist zwiständig, kl Schadholzlücken nahe 2/C sowie im O - sonst geschlossen","MA geplante Erweiterungsfläche des Steinbruchs, ZV"
06731,NG,,,
068A1,WO,,"BE oben mehr LÄ mit ein BU KI, durch Schadholz im N blößig - dort flächig verkrautet sowie vl Holler und ein BU Jgw, LA teils Ziel BHD bereits erreicht; sehr inhomogene BHD",MA laufend Schadholz 2015-2020; auf NVJ warten mitte Dezennium AD
068A2,WO,,"BE +/- 10 J, nahezu reine FI im N, mehr BU KI sowie ein HB im S, s inhomogen - FI stabile Kronen",MA Schäden Käfer / Schnee 2015/16; ZV
068A3,WO,"ST schöner Hahn beim Haus ""Windischbauer""","BE zlr BI KB AS Nuß Holzapfel am Wiesenrand, Wiesenauff, s homogen","MA DE 2014; DF erforderlich, Trauf zur Wiese ja nicht öffnen!"
068B0,WO,,"BE ES stark durch Triebsterben geschädigt, im SO etw jünger mit mehr SP ER, ein KB UL, ökolog bedeutsames BachauenWäldchen, viel Totholz",MA ZV 2018/19; belassen!
068C1,WO,,,MA Schadholz 2018-2020; AF LA? DG keine guten Leistungen auf dem Hang
068C2,WO,,,
068C3,WO,,,
068D1,WO,,,MA Schäden Käfer / Wind 2015/17/19/20; im O LH DF 2021; rest DF/SB BU/KI Kronenpflege
068D2,WO,,,MA DE 2021; ende Dez. Kontrolle ob DF
068D3,WO,,,"MA AG 2015, Schäden Käfer 2020; DF geringwüchsige entnehmen"
068E1,WO,,"BE nach Schadereignissen stark aufgelichtet und teils blößig, etwas ungleichalte BU NVJ","MA belassen, mitte Dezennium Kontrolle ob EG notwendig"
068E2,WO,,"BE nahezu reine bis 10 J ältere BU westl an E1; nahezu reine FI im NO, sonst wechselnde Mischungsverhältnisse, FI nur noch geringe Kronen, ungepflegt und labil","MA DF 2011 im S, DF für BU/KI dringend! für FI bereits zu spät"
068F1,WO,,"BE bis 5 J jünger, im S s lückig, sehr labil, viel abgestorbener Zwischenbestand","MA kl DF 2011 im N, belassen; ZV"
068F2,WO,,,MA DF BU Brennholz
068F3,WO,,,MA DE Brennholz
068F4,WO,,"BE ein FI im NW, Pflege die letzten Jahre vernachlässigt, LA von BU bedrängt, im N etwas FI/TA; BU-EI-UE im S","MA Auff 2002/03, DE LA stark freistellen"
068F5,WO,ST Nordhang,"BE gepflegt, BU in Einzelmischung","MA Auff 2002/03, DE optimaler Zeitpunkt"
068G0,WO,,"BE FI im O und W, mittig grtls BU, einz. ES und TA an Bachlauf",MA DF TA/BU Kronenpflege
068J0,WO,,,"MA DF möglich, UL/EI fördern sonst belassen"
06831,NG,,,
06841,NG,,,
06851,NG,,,
06852,NG,,,
06881,NG,,,
06891,NG,,,
069A0,WO,,,MA AG 2011; DE 2012; DF mitte Dez
069B0,WO,"ST STOE 71-81, windexponiert im N, auch Waldschwingel","BE im N mehr KI - jedoch gering vital, nahezu reine BU nach SO hin, vielerorts noch dicht, 20 J älter an C3 und in Mitte","MA DE 2009, laufend DF 2012/13/20/21; weiter DF BU Dimensionieren"
069C1,WO,ST Geländebruch im NO,"BE FI im O - aus Reihenpflanzung auf ehem Acker, BU im W - dort diffuse Abgrenzung zu C2, FI teils bereits Zielstärke; etwas junger BU Zwischenbestand und AH VJ in Grasschicht","MA mitte Dezennium AD, LH belassen"
069C2,WO,,,
069C3,WO,,,MA AG 2016; DF AH Kronenpflege
069C4,WO,"ST gezäunt, jedoch Zaun eingefallen und unwirksam","BE +/- 5 J, bis 10 J älterer AH-Horst im W, DG geringwüchsig und gefegt","MA Schutz gegen Wild 2013, DP 2016; AG AH und Zaun abbauen!"
069D1,WO,,"BE AH horstweise im NO, voll bestockt mit reiner BU im SW - zw Zugweg und Bach, reine FI-Partien zt. lückig",MA Schneeschäden 2006/20; DF dringend erfordetlich raschwüchsig!
069D2,WO,,"BE zlr AS HB - v a an D1, mehr FI sowie ein AH im NO, FI oft bedrängt, BI ausfallend, an Rücken BU noch geringe BHD",MA DE 2012 nur geringer Teil; DF!
069E0,WO,,,MA DF 2021 zu einem kleinen Teil; weitere DF
069F1,WO,,,
069F2,WO,,,
069F3,WO,,,MA DE 2012/13; DF
069G0,WO,,,
069J0,WO,,,
06931,NG,,,
06932,NG,,,
06951,NG,,,
06952,NG,,,
070A1,WO,ST Verebnungen lgs Bach,"BE KI grtls im O, mehr FI in W-Hälfte, etwa 20 J jüngerer Horst mit protziger BU am W-Rand, ES ER lgs Bach, im O bereits viel BU NVJ unter Schirm","MA stk DF 2006-08, Schäden Käfer 2017/19/20; DF BU/KI Dimensionieren"
070A2,WO,,,MA DE 2013; DF mitte Dezennium
070B1,WO,ST STOE 81/72,"BE BU oft zwiständig, kl Lücke im O zw Zugweg und Str - sonst voll bestockt, FI labil - BU/KI Kronenpflege, labile FI Schrittweise entnehmen",MA 2018-2020 Schäden Käfer; ND: BU/KI fördern
070B2,WO,,"BE gleichmäßiger dichter BU-Streifen im W, sonst FI dominant","MA DE 2005 mit anschließendem Schneebruch, Schäden Käfer 2017; DF um gute H/D zu erhalten"
070C1,WO,,"BE oben ein mächtige KI, ein LÄ, im O lichter UE-Schirm mit BU-FI-Stangenholz, Jgw -5/+10 J, ökolog s wertvolles TA-Altholzrelikt, einige FI Käferbäume und folglich Totholz",MA Schäden Käfer 2015/16/20; ZV
070C2,WO,,,MA DE 2012 nur geringer Teil; DF notwendig - jedoch eher schwierige Lage
070D1,WO,,,
070D2,WO,,,
070E1,WO,,,
070E2,WO,,,"MA DF 2012, RM 2013; Schadholz 2015/18; ZN?"
070F1,WO,"ST STOE 71/72, unten wüchsiger, oben flacher","BE unten lichtes Altholz mit mehr BU - dort bereits BU-Stangenhölzer, nahezu reine KI-Bereiche im S-Drittel - dort mit guter Qualität, Jgw -5/+10 J",MA oben AD unten RM
070F2,WO,,"BE aus laufender Käfer-Kalamität entstanden, im O etwas BU aus Vorbestand, mit DG aufgeforstet, Trockenschäden?","MA AF 2018 NB 2021, Bejagen mit LA EG?"
070G1,WO,,"BE ungleichalte VJ; einige TA/BU/FI-Zwischenbestandreste, im NW ein dichtere Partien mit mehr BU; TA/DG kämpft mit Trieblausbefall, TA auch stark verbissen, DG gefegt","MA DP mitte Dezennium, KE TA"
070G2,WO,,"BE älterer BU-Streifen im NW lgs Str, etw jünger im N, BU oft von minderer Qualität, FI teils bereits ungünstige H/D Verhältnisse","MA DE 2010/11, sehr leicht eingegriffen; weitere DE/DF unbedingt erforderlich"
070G3,WO,"ST eben im SO, karg und trocken","BE NO-Hälfte 5 J älter, SW-Hälfte 5 J jünger - dort nahezu reine FI, zu dichter LÄ-Streifen im SO - siehe Karte; trotz DE FI instabil und geringwüchsig","MA DE 2009/2012/13, Schäden Käfer/Wind 2015/17/18/20 kleine Mengen; DF KI/BU Kronenpflege"
070H1,WO,,,"MA DF 2014/15; Schadholz 2017/19/20/21; ZV , nächstes Dez. LI"
070H2,WO,"ST örtl felsig im NO, alte Wegparzelle im N nicht erkennbar","BE LH meist von minderer Qualität - einz. RE, mehr LH im N, DG eher weitständig, Astung verabsäumt - nun zu spät",MA DE/DF 2014/2015; weitere DF ende Dez. prüfen
070I0,WO,,BE eiz FI ES SL; BU teils gute Schaftqualität,"MA DE 2010, DF 2019; weitere DF notwendig, BU Dimensionieren"
070J1,WO,,"BE ein TA-FI-Zwibest im N, ein EI, BU tlw von minderer Qualität, kl Lücken im SO, KI starke Kronenverlichtung und absterbend","MA DF 2012-2016, weitere DF, KI mit schlechten Kronen entnehmen, gute BU fördern"
070J2,WO,"ST 2 Teile, eben","BE eiz EI HB BI, DG geastet, RE meist Grobastig","MA DF mitte Dezennium, QP erhalten"
070J3,WO,,,
07031,NG,,,
07041,NG,,,
07081,NG,,,
071A1,WO,,,"MA VJ im O einleiten, nicht AD!"
071A2,WO,,"BE etw jünger im W mit BU-Zwibest,","MA stk EDF 2005, gute H/D und BU erhalten, weitere DF"
071B1,WO,,,"MA DF 2012/20; weitere stärkere DF, hoher LH Anteil"
071B2,WO,,,MA AH Asten! mitte Dez. DF
071C1,WO,,,"MA Schäden Wind 2020; SB :LA dimensionieren, TA streichen wo sinnvoll"
071C2,WO,,"BE ein BU BI im N an Zugweg, teils alte BU Einwüchse; FI dicht, H/D verschlechtert sich","MA DE 2005, Schäden Schnee 2015; DF! LH fördern"
071C3,WO,,"BE +/- 5 J, ein BI SL, ein LÄ-TA-UE, mehr LÄ an C1, oben mehr FI AH, BU tls vorwüchsig, AH absterbend, Erkrankung?",MA DP 2012; DE LA fördern
071D0,WO,,,"MA Schäden Käfer 2016/20; LI Vorratspflege, BHD noch keine Zielstärke"
071E0,WO,,"BE BU dominant, nach S hin mehr NH, vl BU-Zwiesel, KI oft sehr astig sowie tlw von BU bedrängt, ein EI, ein LÄ nahe Str, flächig BU NVJ Kegel unter Schirm, einzelne BU guter Qualität","MA DF 2014-2016, laufend Schadholzanfall 2015-2020; ZN, ZV"
07131,NG,,,
07181,NG,,,
072A1,WO,,,
072A2,WO,,"BE W-Rand etw jünger - sonst bis 5 J älter, BU meist zwiständig, lückig nördl Zugwegende","MA DE 2007 im NW, DF 2013; Schäden Käfer/Wind 2016/20; DF zur Stabilität und LH Erhalt notwendig"
072A3,WO,,,MA DE 2018; DF LH Dimensionieren
072A4,WO,,,
072A5,WO,ST 2 Teile,"BE +/- 10 J, einzelne BU-FI-KI-UE, FI meist bedrängt, s inhomogen BU oft protzig, im S Hangbewegung und geringwüchsig",MA DE/DF LH Dimensionieren
072A6,WO,,,MA DP 2015; AG DG 2015; DE LA freistellen
072B1,WO,,"BE einige LÄ BU, FI-Jgw/Zwibest +/- 20 J, KI tlw schon Ziel BHD da weitständig","MA zweimalige stk DF und anschließender Schneebruch vor 2000, laufend Schadholzanfall; LI in dichten Teilen (vorrangig S2 entnehmen)"
072B2,WO,,"BE SL = AH QP RE BI KB, eher weiter Verband, spät geastet, örtl bis 2m Höhe geastet",MA DE 2013/18; DF eventuell AG
072C1,WO,,,
072C2,WO,,,"MA DE 2013, Schäden Käfer 2017-20; labil - vorsichtige ND möglich; ZV"
072C3,WO,,,"MA DE unbedingt erforderlich, FI teils bereits labil; LH pflegen, im S noch keine Maßkrugstärke"
072D0,WO,"ST wüchsiger Unterhang, Traktorweg","BE bis 10 J älter im W, bis 10 J jünger im O, mittig mehr BU, FI teils labil",MA DF 2016/20; weiter SB da FI labil
07231,NG,,,
07241,NG,,,
073A1,WO,"ST im S flache Kuppe, im N tiefgründiger mit örtl STOE 72 sowie etw steiler, Lebensraum des Ziegenmelkers (Nachtschwalbe)","BE im S nahezu reine KI sowie etw jünger, LÄ FI sowie ein TA im N, lichte BU-Partie - siehe Karte, LÄ-Reihe lgs (8) zw 3/8 und 4/8, Jgw/Zwibest +/- 10 J, flächig VJ, im S trocken und Bescheidene","MA DF 2013-2015, AD 2014, Schneeschäden Käfer/Wind 2020; ZV"
073A2,WO,ST STOE 72/71 Kuppe,"BE SL = BI VB KB, DG in Reihenverband, geastet; QP teils schön, BU protzig",MA DE 2018; DF QP von DG weiter freistellen
073A3,WO,,,MA DE 2013; DF notwendig
073A4,WO,,,"MA DE 2018; DF ab mitte Dezenium, FI stabil; Kegel und Mischbaumarten pflegen"
073B1,WO,,"BE FI-reicher im SW, KI-LÄ im O - dort ein Lücken mit LH, s inhomogen und gut gemischt","MA DF 2013, etwas Käferholz; belassen ZV"
073B2,WO,,"BE ein BU, örtl ältere Horste, etwas Totholz, gute H/D Verhältnisse",MA DF 2013; weitere DF
073C0,WO,,,
07331,NG,,,
074A1,WO,,,"MA Schäden Käfer 2013/19/20; teils noch recht dicht, VJ einleiten!"
074A2,WO,,,
074B1,WO,,,"MA S2 bedrängt Kronen von S1, SB!"
074B2,WO,"ST flacher Rücken, Brombeere","BE ein BU SL ER, im W mehr LH, im S FI; bunte Mischung - jedoch gut",MA DE Lärche Kronenpflege notwendig
074B3,WO,,,
074B4,WO,,"BE REI-Streifen an (F), ein FI KI im O, DG etwa 2x2m begründet, geastet",MA DE 2012; DF erforderlich
074C0,WO,,"BE aus Schadholznutzung, einige KI/QP/BU/TA aus Vorbestand, Schöne BA Mischung in VJ","MA Schäden Käfer/Wind 2018/19/20; EG 2019, JP 2019/20; Schutz gegen Wild 2020; Düngung 2021; bejagen! weiterer Schutz gegen Wild"
074D0,WO,,"BE mehr NH im NW, lichtere Partien im S, flächig VJ bis 10 J älter",MA Schäden Käfer/Wind 2012/15/16/20; ZN möglich
07431,NG,,,
07451,NG,,,
075A0,WO,,,"MA laufend Schadholz 2016-2021; dichte Teile Auflichtung, TA/LA/KI/KH fördern"
